Протокол,IP/Config,Port,Страна
HTTP,147.75.88.114,10001,US
HTTP,147.75.88.114,80,US
HTTP,178.156.224.42,3128,US
HTTP,2.26.92.56,3128,US
HTTP,208.84.100.78,3128,US
HTTP,209.145.54.41,3129,US
HTTP,216.200.63.52,8080,US
HTTP,23.190.168.41,80,US
HTTP,38.127.172.34,37234,US
HTTP,38.127.172.7,37234,US
HTTP,38.127.179.19,37234,US
HTTP,5.161.196.81,8888,US
HTTP,5.161.50.82,8118,US
HTTP,5.61.27.184,443,US
HTTP,50.210.166.34,80,US
HTTP,65.155.249.100,8080,US
HTTP,66.111.113.34,80,US
HTTP,92.118.112.32,1081,US
