Протокол,IP/Config,Port,Страна
SOCKS4,172.86.75.243,7301,NL
SOCKS4,174.75.211.193,4145,US
SOCKS4,174.75.211.222,4145,US
SOCKS4,174.77.111.196,4145,US
SOCKS4,184.178.172.11,4145,US
SOCKS4,184.178.172.13,15311,US
SOCKS4,184.178.172.14,4145,US
SOCKS4,184.178.172.17,4145,US
SOCKS4,184.178.172.18,15280,US
SOCKS4,184.178.172.23,4145,US
SOCKS4,184.178.172.25,15291,US
SOCKS4,184.178.172.26,4145,US
SOCKS4,184.178.172.3,4145,US
SOCKS4,184.178.172.5,15303,US
SOCKS4,184.181.178.33,4145,US
SOCKS4,184.181.217.194,4145,US
SOCKS4,184.181.217.206,4145,US
SOCKS4,184.181.217.210,4145,US
SOCKS4,184.181.217.213,4145,US
SOCKS4,184.182.240.12,4145,US
SOCKS4,184.182.240.211,4145,US
SOCKS4,184.185.2.12,4145,US
SOCKS4,185.108.76.197,9050,DE
SOCKS4,2.26.103.243,1080,US
SOCKS4,2.26.86.132,1080,US
SOCKS4,206.188.196.40,9100,NL
SOCKS4,208.102.51.6,58208,US
SOCKS4,216.68.128.121,4145,US
SOCKS4,45.38.198.127,1080,US
SOCKS4,45.89.111.139,1082,GB
SOCKS4,45.95.232.35,1080,CH
SOCKS4,66.42.224.229,41679,US
SOCKS4,68.1.210.189,4145,US
SOCKS4,69.61.200.104,36181,US
SOCKS4,70.166.167.55,57745,US
SOCKS4,70.166.65.160,4145,US
SOCKS4,72.195.101.99,4145,US
SOCKS4,72.195.34.59,4145,US
SOCKS4,72.205.0.67,4145,US
SOCKS4,72.207.113.97,4145,US
SOCKS4,72.207.33.64,4145,US
SOCKS4,72.214.108.67,4145,US
SOCKS4,72.223.188.67,4145,US
SOCKS4,72.223.188.92,4145,US
SOCKS4,72.49.49.11,31034,US
SOCKS4,76.144.40.133,9050,US
SOCKS4,77.232.142.77,31336,RU
SOCKS4,79.137.199.99,1080,NL
SOCKS4,8.42.68.249,39593,US
SOCKS4,82.66.253.131,9050,FR
SOCKS4,83.215.25.66,9050,AT
SOCKS4,85.192.29.60,1080,NL
SOCKS4,91.84.107.177,9050,NL
SOCKS4,98.103.88.158,46104,US
SOCKS4,98.175.31.195,4145,US
SOCKS4,98.175.31.222,4145,US
SOCKS4,98.181.137.83,4145,US
SOCKS4,98.182.171.161,4145,US
SOCKS4,98.190.239.3,4145,US
SOCKS4,98.191.0.37,4145,US
SOCKS4,98.191.0.47,4145,US
